iter	Passed	Remaining
0	14	14338
1	34	17225
2	54	18151
3	74	18442
4	94	18753
5	110	18344
6	134	19024
7	153	19046
8	173	19055
9	192	19035
10	211	19013
11	225	18597
12	244	18537
13	267	18817
14	287	18847
15	306	18820
16	325	18833
17	347	18968
18	367	18974
19	389	19100
20	412	19225
21	432	19230
22	453	19255
23	477	19436
24	499	19475
25	520	19513
26	541	19531
27	561	19484
28	579	19411
29	599	19390
30	622	19465
31	645	19512
32	662	19417
33	682	19379
34	712	19644
35	731	19600
36	750	19528
37	766	19403
38	781	19258
39	803	19286
40	821	19218
41	835	19064
42	848	18886
43	863	18751
44	890	18891
45	908	18839
46	928	18822
47	946	18774
48	964	18712
49	978	18588
50	1004	18690
51	1022	18642
52	1052	18797
53	1077	18874
54	1104	18982
55	1136	19156
56	1159	19188
57	1185	19261
58	1218	19431
59	1239	19419
60	1260	19401
61	1278	19347
62	1297	19292
63	1316	19247
64	1339	19265
65	1355	19179
66	1371	19093
67	1386	18997
68	1406	18971
69	1448	19249
70	1468	19211
71	1485	19142
72	1502	19074
73	1519	19020
74	1553	19154
75	1569	19083
76	1587	19031
77	1604	18961
78	1620	18892
79	1641	18880
80	1659	18826
81	1676	18767
82	1694	18722
83	1711	18668
84	1727	18598
85	1742	18523
86	1760	18476
87	1778	18432
88	1794	18364
89	1808	18285
90	1824	18229
91	1840	18169
92	1855	18096
93	1880	18126
94	1898	18081
95	1916	18047
96	1933	18001
97	1952	17973
98	1970	17934
99	1988	17897
100	2006	17859
101	2023	17810
102	2041	17777
103	2064	17785
104	2104	17940
105	2131	17977
106	2157	18005
107	2187	18067
108	2210	18067
109	2233	18068
110	2253	18047
111	2272	18015
112	2291	17984
113	2324	18064
114	2342	18030
115	2360	17985
116	2376	17932
117	2392	17883
118	2407	17826
119	2425	17789
120	2442	17746
121	2458	17695
122	2475	17652
123	2493	17615
124	2510	17573
125	2535	17587
126	2550	17531
127	2565	17480
128	2579	17416
129	2593	17359
130	2611	17322
131	2625	17267
132	2642	17224
133	2658	17181
134	2675	17140
135	2701	17159
136	2718	17122
137	2735	17086
138	2753	17054
139	2769	17011
140	2787	16980
141	2805	16949
142	2824	16925
143	2842	16897
144	2857	16848
145	2874	16815
146	2891	16779
147	2906	16729
148	2924	16702
149	2943	16678
150	2964	16667
151	2981	16633
152	2998	16599
153	3013	16556
154	3031	16528
155	3049	16497
156	3067	16472
157	3097	16507
158	3114	16475
159	3133	16449
160	3150	16419
161	3168	16387
162	3189	16380
163	3207	16352
164	3223	16311
165	3238	16270
166	3254	16234
167	3270	16195
168	3288	16169
169	3303	16130
170	3320	16097
171	3336	16062
172	3357	16050
173	3375	16025
174	3392	15994
175	3411	15972
176	3427	15935
177	3444	15908
178	3464	15888
179	3542	16137
180	3560	16109
181	3584	16110
182	3608	16111
183	3636	16128
184	3664	16144
185	3692	16158
186	3719	16170
187	3743	16170
188	3762	16144
189	3783	16130
190	3802	16105
191	3820	16079
192	3842	16067
193	3862	16048
194	3883	16030
195	3902	16009
196	3919	15978
197	3937	15949
198	3954	15918
199	3973	15893
200	3988	15855
201	4007	15831
202	4025	15803
203	4043	15776
204	4057	15737
205	4075	15710
206	4091	15673
207	4109	15648
208	4124	15610
209	4146	15597
210	4164	15572
211	4183	15550
212	4201	15524
213	4218	15493
214	4237	15470
215	4267	15491
216	4286	15466
217	4303	15436
218	4321	15412
219	4343	15400
220	4359	15367
221	4377	15342
222	4396	15318
223	4412	15284
224	4427	15250
225	4451	15246
226	4470	15224
227	4489	15202
228	4502	15160
229	4518	15128
230	4536	15102
231	4551	15067
232	4568	15039
233	4585	15009
234	4602	14982
235	4617	14948
236	4631	14911
237	4649	14885
238	4664	14851
239	4692	14859
240	4707	14826
241	4726	14803
242	4745	14782
243	4762	14757
244	4781	14733
245	4802	14719
246	4823	14703
247	4842	14684
248	4863	14668
249	4882	14648
250	4899	14619
251	4917	14597
252	4936	14575
253	4954	14552
254	4983	14559
255	5001	14535
256	5022	14521
257	5043	14505
258	5065	14492
259	5089	14486
260	5107	14461
261	5124	14435
262	5142	14410
263	5163	14393
264	5179	14366
265	5198	14345
266	5215	14317
267	5231	14289
268	5247	14260
269	5264	14233
270	5278	14198
271	5296	14174
272	5310	14141
273	5324	14108
274	5338	14075
275	5355	14048
276	5369	14015
277	5386	13990
278	5404	13966
279	5422	13943
280	5439	13918
281	5457	13896
282	5475	13872
283	5494	13851
284	5513	13832
285	5535	13819
286	5557	13806
287	5577	13789
288	5597	13771
